# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2023-04-24 12:12:48 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01632900 SMITH CREEK NEAR NEW MARKET, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01632900
#            TS   parameter     statistic     Description
#        144686       00060     00003     Discharge, cubic feet per second (Mean)
#        144687       00010     00001     Temperature, water, degrees Celsius (Maximum)
#        144688       00010     00002     Temperature, water, degrees Celsius (Minimum)
#        144689       00010     00008     Temperature, water, degrees Celsius (Median)
#        144690       00095     00001     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Maximum)
#        144691       00095     00002     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum)
#        144692       00095     00008     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Median)
#        144693       00400     00001     pH, water, unfiltered, field, standard units (Maximum)
#        144694       00400     00002     pH, water, unfiltered, field, standard units (Minimum)
#        144695       00400     00008     pH, water, unfiltered, field, standard units (Median)
#        144699       00300     00001     Dissolved oxygen, water, unfiltered, milligrams per liter (Maximum)
#        144700       00300     00002     Dissolved oxygen, water, unfiltered, milligrams per liter (Minimum)
#        144701       00300     00008     Dissolved oxygen, water, unfiltered, milligrams per liter (Median)
#        144702       99133     00001     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Maximum)
#        144703       99133     00002     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Minimum)
#        144704       99133     00008     Nitrate plus nitrite, water, in situ, milligrams per liter as nitrogen (Median)
#        214378       63680     00008     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Median)
#        214379       63680     00002     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Minimum)
#        214380       63680     00001     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU) (Maximum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	144686_00060_00003	144686_00060_00003_cd	144687_00010_00001	144687_00010_00001_cd	144688_00010_00002	144688_00010_00002_cd	144689_00010_00008	144689_00010_00008_cd	144690_00095_00001	144690_00095_00001_cd	144691_00095_00002	144691_00095_00002_cd	144692_00095_00008	144692_00095_00008_cd	144693_00400_00001	144693_00400_00001_cd	144694_00400_00002	144694_00400_00002_cd	144695_00400_00008	144695_00400_00008_cd	144699_00300_00001	144699_00300_00001_cd	144700_00300_00002	144700_00300_00002_cd	144701_00300_00008	144701_00300_00008_cd	144702_99133_00001	144702_99133_00001_cd	144703_99133_00002	144703_99133_00002_cd	144704_99133_00008	144704_99133_00008_cd
USGS	01632900	2022-05-12	78.6	A	16.5	A	15.2	A	16.1	A	442	A	432	A	438	A	8.2	A	8.1	A	8.2	A	9.7	A	8.5	A	8.9	A						
USGS	01632900	2022-05-13	75.3	A	17.8	A	16.0	A	16.8	A	451	A	442	A	447	A	8.3	A	8.1	A	8.2	A	9.8	A	8.3	A	8.7	A						
USGS	01632900	2022-05-14	73.5	A	19.0	A	17.3	A	18.2	A	454	A	449	A	452	A	8.3	A	8.1	A	8.1	A	9.6	A	8.0	A	8.4	A						
USGS	01632900	2022-05-15	80.7	A	20.1	A	17.8	A	19.2	A	461	A	451	A	457	A	8.2	A	8.1	A	8.1	A	9.4	A	7.7	A	8.1	A						
USGS	01632900	2022-05-16	74.7	A	20.2	A	18.5	A	19.3	A	475	A	458	A	463	A	8.2	A	8.1	A	8.1	A	9.1	A	7.7	A	8.0	A						
USGS	01632900	2022-05-17	66.2	A	19.5	A	17.4	A	18.6	A	477	A	458	A	470	A	8.3	A	8.1	A	8.2	A	9.5	A	7.7	A	8.3	A						
USGS	01632900	2022-05-18	59.7	A	18.5	A	17.0	A	18.2	A	486	A	477	A	483	A	8.2	A	8.1	A	8.2	A	9.5	A	7.9	A	8.4	A						
USGS	01632900	2022-05-19	58.8	A	20.0	A	17.7	A	18.6	A	489	A	482	A	485	A	8.3	A	8.1	A	8.2	A	9.3	A	7.7	A	8.1	A	2.19	A	2.11	A	2.14	A
USGS	01632900	2022-05-20	53.6	A	21.0	A	18.7	A	19.8	A	495	A	489	A	492	A	8.3	A	8.1	A	8.2	A	9.2	A	7.4	A	8.0	A	2.24	A	2.18	A	2.19	A
USGS	01632900	2022-05-21	49.6	A	23.2	A	20.3	A	21.8	A	503	A	493	A	496	A	8.2	A	8.1	A	8.1	A	8.8	A	6.9	A	7.5	A	2.27	A	2.19	A	2.21	A
USGS	01632900	2022-05-22	49.3	A	24.1	A	22.0	A	22.8	A	508	A	499	A	503	A	8.2	A	8.1	A	8.1	A	8.4	A	6.8	A	7.0	A	2.33	A	2.21	A	2.25	A
USGS	01632900	2022-05-23	52.9	A	22.8	A	19.2	A	21.0	A	506	A	460	A	478	A	8.1	A	8.0	A	8.1	A	8.0	A	6.8	A	7.5	A	2.32	A	1.97	A	2.14	A
USGS	01632900	2022-05-24	64.8	A	19.2	A	16.5	A	17.5	A	493	A	476	A	484	A	8.2	A	8.1	A	8.1	A	8.7	A	7.5	A	8.5	A	2.39	A	2.12	A	2.20	A
USGS	01632900	2022-05-25	59.3	A	17.1	A	15.9	A	16.7	A	493	A	477	A	490	A	8.3	A	8.1	A	8.2	A	9.6	A	8.5	A	8.8	A	2.37	A	2.12	A	2.31	A
USGS	01632900	2022-05-26	50.8	A	18.8	A	16.5	A	17.6	A	495	A	491	A	493	A	8.3	A	8.2	A	8.2	A	9.4	A	8.1	A	8.6	A	2.45	A	2.36	A	2.39	A
USGS	01632900	2022-05-27	130	A	18.7	A	18.1	A	18.6	A	494	A	330	A	428	A	8.2	A	7.9	A	8.1	A	8.3	A	7.8	A	7.9	A	2.46	A	1.42	A	2.23	A
USGS	01632900	2022-05-28	177	A	18.3	A	17.4	A	17.7	A	413	A	351	A	373	A	8.0	A	7.9	A	8.0	A	8.4	A	7.9	A	8.3	A	1.92	A	1.38	A	1.68	A
USGS	01632900	2022-05-29	109	A	18.8	A	16.7	A	17.8	A	412	A	359	A	392	A	8.1	A	7.9	A	8.0	A	8.9	A	8.2	A	8.4	A	1.79	A	1.42	A	1.68	A
USGS	01632900	2022-05-30	84.8	A	20.7	A	17.7	A	19.2	A	443	A	412	A	428	A	8.1	A	8.0	A	8.1	A	8.8	A	7.7	A	8.2	A	1.98	A	1.79	A	1.92	A
USGS	01632900	2022-05-31	71.9	A	22.1	A	19.7	A	20.8	A	466	A	443	A	456	A	8.2	A	8.0	A	8.1	A	8.5	A	7.4	A	7.8	A	2.18	A	1.94	A	2.10	A
USGS	01632900	2022-06-01	64.3	A	22.7	A	20.7	A	21.7	A	486	A	466	A	478	A	8.2	A	8.1	A	8.1	A	8.3	A	7.1	A	7.5	A	2.27	A	2.09	A	2.17	A
USGS	01632900	2022-06-02	59.0	A	22.7	A	21.6	A	22.3	A	495	A	486	A	493	A	8.2	A	8.1	A	8.1	A	8.1	A	7.1	A	7.4	A	2.39	A	2.22	A	2.28	A
USGS	01632900	2022-06-03	59.2	A	22.3	A	20.5	A	21.4	A	499	A	495	A	498	A	8.2	A	8.1	A	8.2	A	8.4	A	7.1	A	7.6	A						
USGS	01632900	2022-06-04	52.4	A	20.8	A	18.9	A	20.0	A	498	A	493	A	495	A	8.2	A	8.1	A	8.2	A	8.7	A	7.5	A	8.0	A	2.43	A	2.36	A	2.38	A
USGS	01632900	2022-06-05	48.1	A	20.3	A	18.4	A	19.5	A	508	A	497	A	505	A	8.3	A	8.2	A	8.2	A	8.9	A	7.7	A	8.1	A	2.58	A	2.35	A	2.48	A
USGS	01632900	2022-06-06	44.5	A	20.8	A	18.6	A	19.8	A	518	A	506	A	512	A	8.3	A	8.2	A	8.2	A	8.9	A	7.8	A	8.0	A	2.60	A	2.51	A	2.56	A
USGS	01632900	2022-06-07	43.8	A	20.0	A	19.1	A	19.6	A	522	A	515	A	520	A	8.2	A	8.2	A	8.2	A	8.1	A	7.6	A	7.9	A	2.69	A	2.59	A	2.66	A
USGS	01632900	2022-06-08	44.9	A	20.8	A	18.8	A	20.2	A	524	A	512	A	519	A	8.2	A	8.1	A	8.2	A	8.6	A	7.7	A	8.0	A	2.73	A	2.63	A	2.71	A
USGS	01632900	2022-06-09	145	A	20.4	A	19.2	A	20.2	A	512	A	354	A	423	A	8.2	A	7.9	A	8.1	A	7.8	A	7.1	A	7.6	A	2.78	A	1.82	A	2.48	A
USGS	01632900	2022-06-10	83.0	A	20.3	A	18.2	A	19.5	A	452	A	408	A	426	A	8.1	A	8.0	A	8.1	A	8.2	A	7.8	A	8.0	A	2.28	A	2.01	A	2.15	A
USGS	01632900	2022-06-11	64.2	A	19.5	A	18.5	A	19.1	A	494	A	436	A	478	A	8.2	A	8.1	A	8.2	A	8.5	A	7.8	A	8.0	A	2.75	A	2.24	A	2.50	A
USGS	01632900	2022-06-12	64.6	A	20.1	A	18.4	A	18.9	A	514	A	494	A	509	A	8.3	A	8.2	A	8.2	A	8.6	A	7.8	A	8.1	A	2.77	A	2.68	A	2.74	A
USGS	01632900	2022-06-13	55.6	A	22.1	A	19.8	A	21.0	A	527	A	512	A	521	A	8.2	A	8.2	A	8.2	A	8.4	A	7.4	A	7.8	A	2.80	A	2.62	A	2.70	A
USGS	01632900	2022-06-14	50.9	A	22.1	A	21.5	A	21.7	A	535	A	522	A	530	A	8.2	A	8.1	A	8.1	A	7.6	A	7.2	A	7.4	A	2.67	A	2.62	A	2.65	A
USGS	01632900	2022-06-15	47.3	A	23.4	A	20.9	A	22.0	A	544	A	525	A	530	A	8.2	A	8.1	A	8.2	A	8.1	A	7.2	A	7.5	A	2.69	A	2.54	A	2.62	A
USGS	01632900	2022-06-16	42.7	A	24.8	A	22.7	A	23.8	A	557	A	544	A	553	A	8.2	A	8.1	A	8.2	A	7.7	A	6.8	A	7.1	A	2.78	A	2.69	A	2.77	A
USGS	01632900	2022-06-17	39.2	A	25.7	A	23.9	A	24.5	A	561	A	550	A	554	A	8.2	A	8.1	A	8.2	A	7.3	A	6.6	A	6.8	A	2.93	A	2.78	A	2.86	A
USGS	01632900	2022-06-18	36.9	A	24.2	A	21.1	A	22.9	A	561	A	554	A	559	A	8.2	A	8.1	A	8.2	A	7.7	A	6.6	A	7.3	A	2.90	A	2.81	A	2.85	A
USGS	01632900	2022-06-19	35.3	A	21.1	A	19.3	A	20.2	A	562	A	556	A	559	A	8.3	A	8.2	A	8.2	A	8.4	A	7.3	A	7.9	A	3.08	A	2.86	A	3.03	A
USGS	01632900	2022-06-20	33.7	A	20.2	A	18.5	A	19.4	A	562	A	553	A	557	A	8.3	A	8.2	A	8.3	A	8.7	A	7.8	A	8.1	A						
USGS	01632900	2022-06-21	33.0	A	21.1	A	18.8	A	19.5	A	560	A	551	A	556	A	8.3	A	8.2	A	8.3	A	8.5	A	7.7	A	8.0	A						
USGS	01632900	2022-06-22	35.0	A	22.1	A	19.8	A	21.0	A	560	A	495	A	557	A	8.3	A	8.1	A	8.2	A	8.2	A	7.3	A	7.7	A	3.13	A	2.85	A	3.01	A
USGS	01632900	2022-06-23	82.1	A	22.4	A	20.9	A	21.6	A	520	A	476	A	506	A	8.2	A	8.1	A	8.1	A	7.5	A	7.0	A	7.2	A	3.41	A	2.63	A	2.89	A
USGS	01632900	2022-06-24	51.4	A	23.4	A	21.3	A	22.2	A	519	A	443	A	478	A	8.2	A	8.0	A	8.1	A	7.8	A	7.1	A	7.2	A	3.23	A	2.40	A	2.66	A
USGS	01632900	2022-06-25	40.1	A	24.0	A	21.8	A	23.0	A	524	A	512	A	519	A	8.2	A	8.1	A	8.2	A	7.8	A	7.0	A	7.2	A	2.84	A	2.74	A	2.75	A
USGS	01632900	2022-06-26	44.2	A	24.2	A	22.3	A	22.9	A	538	A	344	A	526	A	8.2	A	8.0	A	8.1	A	7.5	A	6.9	A	7.1	A	2.86	A	1.94	A	2.77	A
USGS	01632900	2022-06-27	43.3	A	22.6	A	21.7	A	22.3	A	538	A	478	A	523	A	8.2	A	8.1	A	8.1	A	7.6	A	7.0	A	7.2	A	2.90	A	2.51	A	2.80	A
USGS	01632900	2022-06-28	39.2	A	21.9	A	20.1	A	21.2	A	562	A	538	A	550	A	8.3	A	8.2	A	8.2	A	8.2	A	7.3	A	7.7	A	3.12	A	2.83	A	2.98	A
USGS	01632900	2022-06-29	34.9	A	22.4	A	19.8	A	21.2	A	566	A	557	A	560	A	8.3	A	8.2	A	8.2	A	8.3	A	7.5	A	7.7	A						
USGS	01632900	2022-06-30	33.7	A	23.4	P	20.4	P	22.2	P	566	P	555	P	560	P	8.2	P	8.2	P	8.2	P	8.1	P	7.3	P	7.5	P						
USGS	01632900	2022-07-01	32.6	A	23.6	P	21.9	P	22.8	P	562	P	557	P	560	P	8.2	P	8.2	P	8.2	P	7.6	P	7.0	P	7.2	P	3.10	P	3.03	P	3.06	P
USGS	01632900	2022-07-02	33.9	A	23.8	P	22.3	P	23.0	P	561	P	553	P	557	P	8.2	P	8.1	P	8.2	P	7.5	P	7.0	P	7.1	P						
USGS	01632900	2022-07-03	32.0	A	24.0	P	22.5	P	23.1	P	573	P	557	P	559	P	8.2	P	8.1	P	8.2	P	7.6	P	7.0	P	7.1	P						
USGS	01632900	2022-07-04	29.7	A	23.9	P	21.5	P	22.8	P	582	P	573	P	574	P	8.3	P	8.2	P	8.2	P	7.8	P	7.1	P	7.3	P	3.17	P	2.98	P	3.12	P
USGS	01632900	2022-07-05	28.6	A	23.2	P	21.8	P	22.5	P	583	P	572	P	578	P	8.2	P	8.2	P	8.2	P	7.4	P	7.1	P	7.2	P	3.28	P	3.12	P	3.20	P
USGS	01632900	2022-07-06	28.9	A	23.7	P	21.9	P	22.6	P	579	P	574	P	577	P	8.3	P	8.2	P	8.2	P	7.5	P	7.0	P	7.2	P	3.34	P	3.22	P	3.24	P
USGS	01632900	2022-07-07	28.3	A	24.3	P	22.6	P	23.3	P	585	P	579	P	581	P	8.3	P	8.2	P	8.2	P	7.5	P	6.9	P	7.1	P	3.47	P	3.32	P	3.37	P
USGS	01632900	2022-07-08	28.4	A	24.7	P	22.8	P	23.8	P	587	P	567	P	584	P	8.3	P	8.2	P	8.2	P	7.5	P	6.7	P	7.0	P						
USGS	01632900	2022-07-09	67.0	A	24.0	P	21.8	P	22.8	P	577	P	479	P	531	P	8.2	P	8.1	P	8.2	P	7.1	P	6.7	P	6.9	P						
USGS	01632900	2022-07-10	50.7	A	22.0	P	21.2	P	21.6	P	519	P	489	P	504	P	8.2	P	8.1	P	8.2	P	7.6	P	7.0	P	7.4	P						
USGS	01632900	2022-07-11	38.2	A	22.5	P	20.2	P	21.3	P	541	P	519	P	533	P	8.3	P	8.2	P	8.2	P	8.0	P	7.4	P	7.6	P						
USGS	01632900	2022-07-12	38.7	A	23.5	P	20.8	P	22.2	P	555	P	446	P	544	P	8.3	P	8.2	P	8.2	P	7.8	P	7.1	P	7.4	P						
USGS	01632900	2022-07-13	67.1	A	23.8	P	22.1	P	22.8	P	531	P	503	P	524	P	8.2	P	8.1	P	8.2	P	7.5	P	6.9	P	7.1	P						
USGS	01632900	2022-07-14	43.4	A	23.3	P	21.8	P	22.7	P	541	P	476	P	512	P	8.1	P	8.1	P	8.1	P	7.5	P	7.0	P	7.2	P						
USGS	01632900	2022-07-15	36.0	A	23.8	P	21.9	P	22.8	P	569	P	541	P	562	P	8.2	P	8.1	P	8.1	P	7.8	P	7.1	P	7.3	P						
USGS	01632900	2022-07-16	32.5	A	23.5	P	22.3	P	22.8	P	581	P	566	P	573	P	8.2	P	8.1	P	8.1	P	7.6	P	7.1	P	7.3	P						
USGS	01632900	2022-07-17	33.2	A	23.6	P	22.1	P	22.9	P	585	P	576	P	582	P	8.2	P	8.1	P	8.2	P	7.6	P	7.1	P	7.2	P						
USGS	01632900	2022-07-18	47.8	A	24.0	P	22.4	P	23.4	P	586	P	540	P	582	P	8.2	P	8.1	P	8.1	P	7.6	P	7.0	P	7.1	P						
USGS	01632900	2022-07-19	43.1	A	23.9	P	23.0	P	23.4	P	591	P	563	P	582	P	8.2	P	8.1	P	8.2	P	7.5	P	7.0	P	7.2	P						
USGS	01632900	2022-07-20	38.3	A	25.0	P	22.7	P	23.8	P							8.2	P	8.1	P	8.1	P	7.5	P	6.9	P	7.1	P						
USGS	01632900	2022-07-21	35.5	A	25.5	P	23.6	P	24.5	P							8.2	P	8.1	P	8.1	P	7.3	P	6.8	P	6.9	P	3.00	P	2.81	P	2.96	P
USGS	01632900	2022-07-22	31.9	A	25.9	P	23.5	P	24.8	P	584	P	569	P	577	P	8.2	P	8.1	P	8.1	P	7.4	P	6.7	P	6.9	P	3.07	P	2.89	P	2.98	P
USGS	01632900	2022-07-23	30.6	A	25.9	P	23.5	P	24.6	P	585	P	559	P	580	P	8.2	P	8.1	P	8.1	P	7.4	P	6.7	P	6.9	P	3.02	P	2.82	P	2.92	P
USGS	01632900	2022-07-24	31.2	A	25.7	P	23.1	P	24.2	P	573	P	561	P	571	P	8.2	P	8.1	P	8.1	P	7.4	P	6.7	P	6.9	P	2.97	P	2.74	P	2.86	P
USGS	01632900	2022-07-25	30.9	A	25.2	P	24.2	P	24.7	P	575	P	563	P	566	P	8.1	P	8.1	P	8.1	P	6.9	P	6.6	P	6.7	P	2.78	P	2.68	P	2.74	P
USGS	01632900	2022-07-26	34.2	A	24.4	P	22.9	P	23.7	P	581	P	575	P	578	P	8.2	P	8.1	P	8.1	P	7.2	P	6.7	P	6.9	P	2.99	P	2.71	P	2.86	P
USGS	01632900	2022-07-27	32.1	A	23.7	P	22.3	P	23.2	P	581	P	569	P	576	P	8.2	P	8.1	P	8.2	P	7.5	P	7.1	P	7.2	P	3.12	P	2.93	P	3.08	P
USGS	01632900	2022-07-28	30.8	A	24.2	P	22.8	P	23.4	P	593	P	574	P	583	P	8.2	P	8.1	P	8.2	P	7.4	P	7.1	P	7.2	P	3.21	P	3.08	P	3.12	P
USGS	01632900	2022-07-29	31.0	A	23.9	P	22.9	P	23.3	P	594	P	582	P	589	P	8.2	P	8.1	P	8.2	P	7.4	P	7.0	P	7.1	P	3.26	P	3.07	P	3.16	P
USGS	01632900	2022-07-30	31.3	A	24.1	P	22.2	P	23.4	P	591	P	582	P	584	P	8.2	P	8.1	P	8.2	P	7.7	P	7.1	P	7.3	P						
USGS	01632900	2022-07-31	28.6	A	23.4	P	22.0	P	22.3	P	586	P	582	P	584	P	8.2	P	8.2	P	8.2	P	7.5	P	7.1	P	7.3	P						
USGS	01632900	2022-08-01	28.6	A	23.6	P	21.5	P	22.3	P	587	P	585	P	586	P	8.2	P	8.2	P	8.2	P	7.9	P	7.2	P	7.4	P						
USGS	01632900	2022-08-02	27.0	A	24.7	P	22.5	P	23.4	P	594	P	587	P	590	P	8.2	P	8.2	P	8.2	P	7.7	P	7.0	P	7.2	P						
USGS	01632900	2022-08-03	25.7	A	25.3	P	22.6	P	23.8	P	596	P	593	P	595	P	8.2	P	8.2	P	8.2	P	7.8	P	6.8	P	7.1	P						
USGS	01632900	2022-08-04	25.1	A	25.4	P	23.6	P	24.8	P	597	P	586	P	596	P	8.2	P	8.1	P	8.2	P	7.6	P	6.8	P	6.9	P						
USGS	01632900	2022-08-05	25.0	A	25.1	P	23.9	P	24.7	P	594	P	586	P	592	P	8.2	P	8.1	P	8.2	P	7.6	P	6.7	P	7.0	P						
USGS	01632900	2022-08-06	27.7	A	25.0	P	23.5	P	24.4	P	590	P	569	P	585	P	8.2	P	8.1	P	8.2	P	7.8	P	6.8	P	7.1	P						
USGS	01632900	2022-08-07	27.2	A	25.5	P	23.3	P	24.4	P	571	P	557	P	566	P	8.2	P	8.1	P	8.2	P	7.6	P	6.7	P	7.0	P						
USGS	01632900	2022-08-08	26.6	A	25.7	P	23.8	P	25.0	P	582	P	549	P	572	P	8.2	P	8.1	P	8.1	P	7.6	P	6.5	P	6.8	P						
USGS	01632900	2022-08-09	24.7	A	26.4	P	24.1	P	25.2	P	579	P	551	P	557	P	8.2	P	8.0	P	8.0	P	7.5	P	6.5	P	6.7	P						
